LC_Class_I NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
10.0 0.398830384016037 0.5881538391113281 0.5744258165359497 0.48773929476737976 0.3833826184272766 0.45125719904899597
10.0 0.3322999179363251 0.4754991829395294 0.49194061756134033 0.31374406814575195 0.1667756885290146 0.5943760275840759
10.0 0.6427378058433533 0.5436893105506897 0.5607765316963196 0.4136572480201721 0.31674954295158386 0.4686248004436493
10.0 0.17589125037193298 0.17686793208122253 0.20415189862251282 0.17401613295078278 0.19047139585018158 0.20375236868858337
10.0 0.3726067543029785 0.0 0.2801154851913452 0.24049000442028046 0.19726023077964783 0.3087179958820343
10.0 0.37881872057914734 0.33895862102508545 0.36872047185897827 0.2669540047645569 0.24965627491474152 0.4201570749282837
10.0 0.3648257255554199 0.5224564671516418 0.5531932711601257 0.37384864687919617 0.2478632628917694 0.5217674374580383
10.0 0.48995867371559143 0.5983731746673584 0.5722723007202148 0.4582470953464508 0.40925002098083496 0.6155734658241272
10.0 0.4152616262435913 0.47994059324264526 0.2908647358417511 0.1675052046775818 0.14076776802539825 0.40674421191215515
10.0 0.5707598924636841 0.4686492085456848 0.7024144530296326 0.5611004829406738 0.3893502652645111 0.563380241394043
10.0 0.261014461517334 0.5100401639938354 0.5924703478813171 0.17415304481983185 0.34131115674972534 0.5286546349525452
10.0 0.15639810264110565 0.13037574291229248 0.08685336261987686 0.09931373596191406 0.09356221556663513 0.0945836529135704
10.0 0.5625096559524536 0.5990200638771057 0.7238972187042236 0.5951374769210815 0.44592735171318054 0.6947041153907776
10.0 0.29178157448768616 0.6228028535842896 0.6206802129745483 0.37047362327575684 0.2554517090320587 0.6279430985450745
10.0 0.22261090576648712 0.35698047280311584 0.35525745153427124 0.2989102005958557 0.2233210653066635 0.21523429453372955
10.0 0.30943432450294495 0.45300957560539246 0.5068914890289307 0.30583053827285767 0.2549775242805481 0.36385878920555115
10.0 0.35529932379722595 0.3835078775882721 0.48492395877838135 0.3684895932674408 0.21490761637687683 0.2912696301937103
10.0 0.516997754573822 0.5806111693382263 0.7135355472564697 0.5679160952568054 0.4142169952392578 0.6877828240394592
10.0 0.5918632745742798 0.4427861273288727 0.4756682217121124 0.3437163829803467 0.2758229374885559 0.3551084101200104
10.0 0.6565985679626465 0.3924342691898346 0.4200282692909241 0.2186046838760376 0.16122841835021973 0.32864952087402344
10.0 0.39032140374183655 0.33304455876350403 0.6441631317138672 0.5023016929626465 0.3961265981197357 0.6974389553070068
10.0 0.19364570081233978 0.29341134428977966 0.28035712242126465 0.21135647594928741 0.20103763043880463 0.2220619022846222
10.0 0.4367073178291321 0.4581634998321533 0.650174617767334 0.38179856538772583 0.3107890486717224 0.4166426956653595
10.0 0.12034542858600616 0.09682256728410721 0.09285540878772736 0.0933753252029419 0.121558278799057 0.1460312008857727
10.0 0.6641791462898254 0.5253022909164429 0.6744544506072998 0.509395182132721 0.3485197126865387 0.5809727907180786
10.0 0.36630430817604065 0.3876188397407532 0.30105265974998474 0.24434390664100647 0.20588625967502594 0.21344535052776337
10.0 0.37811174988746643 0.443159818649292 0.38762417435646057 0.23800213634967804 0.22326867282390594 0.29944202303886414
10.0 0.36310678720474243 0.3744654655456543 0.41050612926483154 0.35677242279052734 0.29374346137046814 0.3160324990749359
10.0 0.4440579414367676 0.6427566409111023 0.7643932700157166 0.6395544409751892 0.43860167264938354 0.5884199142456055
10.0 0.4848436713218689 0.4967231750488281 0.6346926689147949 0.3214271068572998 0.3650529682636261 0.5994045734405518
10.0 0.6772947311401367 0.6755622029304504 0.780657172203064 0.61771559715271 0.4892307221889496 0.4893327057361603
10.0 0.3258126676082611 0.44545960426330566 0.5504783987998962 0.45734623074531555 0.35986435413360596 0.5169354677200317
10.0 0.49847912788391113 0.4971170723438263 0.6451041102409363 0.5190170407295227 0.2565081715583801 0.35684892535209656
10.0 0.4467819929122925 0.3864363133907318 0.44281214475631714 0.3178940713405609 0.2350120097398758 0.40911585092544556
10.0 0.27288100123405457 0.12440736591815948 0.2088157683610916 0.18325923383235931 0.1352992206811905 0.29075631499290466
10.0 0.5095672607421875 0.6038646697998047 0.517768383026123 0.3745593726634979 0.4116857349872589 0.6494312882423401
10.0 0.4015684723854065 0.45955798029899597 0.5397059321403503 0.4649810194969177 0.3361256420612335 0.5934631824493408
10.0 0.29376327991485596 0.1758490800857544 0.2512422502040863 0.23650600016117096 0.24285805225372314 0.40393343567848206
10.0 0.29800495505332947 0.37050485610961914 0.2937297523021698 0.18229855597019196 0.120318703353405 0.2282770425081253
10.0 0.3051407039165497 0.24368637800216675 0.33866363763809204 0.18348625302314758 0.1533748209476471 0.16937480866909027
10.0 0.3553718626499176 0.37909018993377686 0.8014017939567566 0.2779666781425476 0.30170097947120667 0.5753029584884644
10.0 0.5464738607406616 0.7159827351570129 0.5656324028968811 0.35601457953453064 0.19224710762500763 0.35284554958343506
10.0 0.5976119041442871 0.5434151887893677 0.45052075386047363 0.35831743478775024 0.26457303762435913 0.474484920501709
10.0 0.28691694140434265 0.44014400243759155 0.5578344464302063 0.45464274287223816 0.2620473802089691 0.42509639263153076
10.0 0.48395949602127075 0.4338676929473877 0.5820991396903992 0.3612772226333618 0.25065964460372925 0.48932328820228577
10.0 0.5596212148666382 0.46919429302215576 0.7666234970092773 0.6695930361747742 0.49437278509140015 0.6510865688323975
10.0 0.26528117060661316 0.25568443536758423 0.40553930401802063 0.3307839632034302 0.3146953284740448 0.35703903436660767
10.0 0.5425308346748352 0.4726315438747406 0.6372312307357788 0.431891530752182 0.38847115635871887 0.4308670461177826
10.0 0.4948221743106842 0.43056628108024597 0.6069400906562805 0.47670260071754456 0.42784297466278076 0.5520504713058472
10.0 0.3358224034309387 0.27558255195617676 0.2905617654323578 0.40709519386291504 0.3241890072822571 0.5549649596214294
10.0 0.5034000277519226 0.599772036075592 0.6502183675765991 0.3892868161201477 0.2886395752429962 0.5213013291358948
10.0 0.2917330861091614 0.48113909363746643 0.6345933079719543 0.38634049892425537 0.2934815287590027 0.44480612874031067
10.0 0.45664799213409424 0.6466730833053589 0.519400954246521 0.34500652551651 0.21313433349132538 0.28214505314826965
10.0 0.5103217959403992 0.43509677052497864 0.41331493854522705 0.35543495416641235 0.2647596001625061 0.519299328327179
10.0 0.1674647480249405 0.10643893480300903 0.12531672418117523 0.11780338734388351 0.1250000298023224 0.09466364979743958
10.0 0.43029212951660156 0.4896365702152252 0.7490068078041077 0.6300179362297058 0.4118690490722656 0.4406130313873291
10.0 0.2510140538215637 0.22699381411075592 0.20000003278255463 0.16018663346767426 0.15580734610557556 0.1282203197479248
10.0 0.13549794256687164 0.17318940162658691 0.14908725023269653 0.1312861293554306 0.1275632232427597 0.006324304733425379
10.0 0.35731470584869385 0.5637121200561523 0.36863377690315247 0.4371599853038788 0.3542101979255676 0.3748503029346466
10.0 0.519967257976532 0.4345179796218872 0.492694616317749 0.35287219285964966 0.26049235463142395 0.3845258951187134
10.0 0.2666415274143219 0.4772230088710785 0.47954490780830383 0.46565842628479004 0.276533842086792 0.3526115417480469
10.0 0.40874701738357544 0.37008681893348694 0.38220807909965515 0.30146345496177673 0.2738301157951355 0.3782050907611847
10.0 0.5517621636390686 0.5884691476821899 0.6325985789299011 0.5135986804962158 0.44967690110206604 0.5706641674041748
10.0 0.4761016368865967 0.5136540532112122 0.528120756149292 0.43858397006988525 0.3581556975841522 0.5169535875320435
10.0 0.0989326536655426 0.0019767265766859055 0.0938238576054573 0.06734542548656464 0.11307419836521149 0.06492549180984497
10.0 0.4475969672203064 0.3589878976345062 0.34928232431411743 0.2655467092990875 0.22661398351192474 0.2860705554485321
10.0 0.4212014079093933 0.3783018887042999 0.5487003922462463 0.32239818572998047 0.23226088285446167 0.4897508919239044
10.0 0.45844241976737976 0.5368714928627014 0.5883984565734863 0.4631343483924866 0.29021763801574707 0.518507182598114
10.0 0.6443313360214233 0.6088495850563049 0.6042681932449341 0.45036548376083374 0.47959423065185547 0.7305139899253845
10.0 0.5023655295372009 0.4526606798171997 0.4737711548805237 0.3906434178352356 0.40817442536354065 0.5793869495391846
10.0 0.5375943183898926 0.43406254053115845 0.5106538534164429 0.2815353572368622 0.22608381509780884 0.2985212206840515
10.0 0.3441304564476013 0.6272040605545044 0.379421204328537 0.23119187355041504 0.1972428411245346 0.3584035634994507
10.0 0.36048024892807007 0.3224101662635803 0.3666786551475525 0.3098927438259125 0.3582707643508911 0.3643835484981537
10.0 0.5952097177505493 0.5466099381446838 0.5456711649894714 0.4191652536392212 0.32413795590400696 0.5025522112846375
10.0 0.5930196642875671 0.6452541351318359 0.7403997182846069 0.5496885180473328 0.4523853063583374 0.6337295770645142
10.0 0.3608919084072113 0.6414099931716919 0.7287791967391968 0.6648602485656738 0.5771536827087402 0.6077938675880432
10.0 0.42611855268478394 0.49312034249305725 0.5634387731552124 0.37791043519973755 0.2114342451095581 0.3519843816757202
10.0 0.6040353775024414 0.4072580337524414 0.36056795716285706 0.2850436866283417 0.23404256999492645 0.24597476422786713
10.0 0.48192769289016724 0.4983404874801636 0.6229563355445862 0.449566513299942 0.31585678458213806 0.45145314931869507
10.0 0.5303874015808105 0.6651798486709595 0.587347686290741 0.18122030794620514 0.15892182290554047 0.4946460723876953
10.0 0.7186112403869629 0.4353741407394409 0.7363404631614685 0.46411582827568054 0.34762489795684814 0.6569615602493286
10.0 0.4643262028694153 0.4355773329734802 0.456354558467865 0.34191715717315674 0.2853253483772278 0.3346360921859741
10.0 0.5567341446876526 0.6853742599487305 0.5884007811546326 0.5416068434715271 0.39958369731903076 0.5024083852767944
10.0 0.5899536609649658 0.46233227849006653 0.4646233022212982 0.37432119250297546 0.2852194011211395 0.428274929523468
10.0 0.3367995321750641 0.6606317758560181 0.609078049659729 0.38434678316116333 0.2596685290336609 0.6354562044143677
10.0 0.26655974984169006 0.2989104390144348 0.2779240310192108 0.252795547246933 0.2562151551246643 0.27210214734077454
10.0 0.481654554605484 0.6948820352554321 0.6477680206298828 0.491698682308197 0.2704225182533264 0.42092883586883545
10.0 0.5322962999343872 0.6973083019256592 0.703249454498291 0.27511656284332275 0.21950961649417877 0.6240254044532776
10.0 0.4717867970466614 0.598321259021759 0.537071704864502 0.3381674289703369 0.21954265236854553 0.44999995827674866
10.0 0.6100000143051147 0.6669856905937195 0.7702571153640747 0.676627516746521 0.5326115489006042 0.8362990021705627
10.0 0.7666667103767395 0.6178652048110962 0.7689834833145142 0.6805102229118347 0.44139623641967773 0.6409709453582764
10.0 0.598353385925293 0.544053316116333 0.6861794590950012 0.5458732843399048 0.32199183106422424 0.5489764213562012
10.0 0.4450722932815552 0.49585670232772827 0.6224188804626465 0.23172415792942047 0.27932727336883545 0.6446850299835205
10.0 0.38084667921066284 0.5301080346107483 0.4669457972049713 0.39717942476272583 0.3333333432674408 0.46671077609062195
10.0 0.5632755160331726 0.45948565006256104 0.5468530058860779 0.268482506275177 0.380869060754776 0.5539544820785522
10.0 0.49011215567588806 0.7194758057594299 0.5802751183509827 0.37042465806007385 0.23893801867961884 0.5765739679336548
10.0 0.3773602247238159 0.655876874923706 0.6302280426025391 0.48354583978652954 0.30582520365715027 0.6916550397872925
10.0 0.3500000238418579 0.4563165605068207 0.6181818246841431 0.4401359260082245 0.2943243384361267 0.3934081196784973
10.0 0.18753360211849213 0.10084506124258041 0.10904405266046524 0.09133018553256989 0.09253063797950745 0.05075876787304878
10.0 0.593014121055603 0.6805976629257202 0.7038690447807312 0.4816737174987793 0.39930763840675354 0.743055522441864
10.0 0.4825174808502197 0.564518928527832 0.6504855155944824 0.5835177898406982 0.36883774399757385 0.5996387600898743
10.0 0.6657552719116211 0.4919569492340088 0.5713579058647156 0.46260207891464233 0.48183757066726685 0.6742886304855347
10.0 0.37514251470565796 0.21098627150058746 0.2361169308423996 0.08936489373445511 0.08120868355035782 0.1065502017736435
10.0 0.54356849193573 0.5274304151535034 0.48807016015052795 0.3575369715690613 0.2542077302932739 0.5615798830986023
10.0 0.3579201400279999 0.4378288686275482 0.5082741975784302 0.42276424169540405 0.234871506690979 0.45346060395240784
