LC_Class_I NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
10.0 0.3954945206642151 0.30909088253974915 0.10095533728599548 0.14952166378498077 0.1980944722890854 0.23765352368354797
10.0 0.49080485105514526 0.5441625118255615 0.46417441964149475 0.3732668161392212 0.39225879311561584 0.40917661786079407
10.0 0.5390728116035461 0.2459801435470581 0.46589890122413635 0.4017167389392853 0.28536009788513184 0.5277600884437561
10.0 0.5742377042770386 0.485348641872406 0.511254608631134 0.5380071997642517 0.3850589394569397 0.425320029258728
10.0 0.5594125986099243 0.6535727381706238 0.5009152293205261 0.44198715686798096 0.5200406312942505 0.6752092838287354
10.0 0.4130081534385681 0.5311811566352844 0.7188377976417542 0.6050333976745605 0.5137008428573608 0.5412935614585876
10.0 0.6594117879867554 0.549797534942627 0.4306069612503052 0.35785213112831116 0.27336084842681885 0.30487221479415894
10.0 0.6660809516906738 0.5627354383468628 0.5229843854904175 0.3344000279903412 0.26511630415916443 0.18613243103027344
10.0 0.5152176022529602 0.4389100670814514 0.4448036551475525 0.2926253080368042 0.21896444261074066 0.34089553356170654
10.0 0.6101427674293518 0.5484166145324707 0.655212938785553 0.4958878755569458 0.38416844606399536 0.45442360639572144
10.0 0.394400417804718 0.4046264588832855 0.40864297747612 0.26705339550971985 0.2699221670627594 0.3081749677658081
10.0 0.3593314588069916 0.2981393337249756 0.37988826632499695 0.2934575080871582 0.23680394887924194 0.3095647394657135
10.0 0.6109477281570435 0.5458144545555115 0.5917667150497437 0.4001477062702179 0.3012832999229431 0.4807077944278717
10.0 0.5305237174034119 0.5626991391181946 0.612373411655426 0.44361230731010437 0.384309858083725 0.5364667773246765
10.0 0.6537795066833496 0.668039083480835 0.5871507525444031 0.4747413098812103 0.3634894788265228 0.33281993865966797
10.0 0.6434875726699829 0.4845578074455261 0.7401721477508545 0.5530174970626831 0.5713886618614197 0.5879397392272949
10.0 0.4691837728023529 0.3078077733516693 0.4290512204170227 0.27190902829170227 0.16110119223594666 0.46575433015823364
10.0 0.4252084493637085 0.5988200306892395 0.49069511890411377 0.38691166043281555 0.25040915608406067 0.2698652446269989
10.0 0.5745189189910889 0.673923134803772 0.5234533548355103 0.3817630112171173 0.2766872048377991 0.3326813280582428
10.0 0.5294712781906128 0.587288498878479 0.6531281471252441 0.39439505338668823 0.3543776571750641 0.26681867241859436
10.0 0.4266442060470581 0.4093047082424164 0.2949640452861786 0.19428008794784546 0.11595061421394348 0.12163417786359787
10.0 0.5139607191085815 0.5286708474159241 0.4843108355998993 0.38170182704925537 0.3171139359474182 0.3421389162540436
10.0 0.35482025146484375 0.35423046350479126 0.480972558259964 0.3420260548591614 0.2149123102426529 0.287792831659317
10.0 0.3995680809020996 0.49861645698547363 0.3618721663951874 0.2627858519554138 0.19874048233032227 0.2279369980096817
10.0 0.43071991205215454 0.4442732036113739 0.5544806122779846 0.4171878397464752 0.26498550176620483 0.2760191559791565
10.0 0.5426216721534729 0.43359360098838806 0.5672795176506042 0.5333920121192932 0.39724597334861755 0.3800128102302551
10.0 0.47099772095680237 0.42835187911987305 0.34993159770965576 0.2900378108024597 0.22741453349590302 0.23446017503738403
10.0 0.21050836145877838 0.3519943952560425 0.4276179075241089 0.3003542721271515 0.22538727521896362 0.41367167234420776
10.0 0.5019863247871399 0.598247230052948 0.37494736909866333 0.23856011033058167 0.20569545030593872 0.31678247451782227
10.0 0.3763621151447296 0.6283928751945496 0.6646716594696045 0.595977783203125 0.4888116121292114 0.5511274337768555
10.0 0.5190586447715759 0.6546570062637329 0.47929319739341736 0.34233424067497253 0.30718231201171875 0.31111109256744385
10.0 0.5622968673706055 0.4681147634983063 0.4391072392463684 0.28756001591682434 0.23705537617206573 0.3690406382083893
10.0 0.5769917964935303 0.5414091348648071 0.6234437823295593 0.361776739358902 0.3012820780277252 0.4271264672279358
10.0 0.7574665546417236 0.4548740088939667 0.6477617025375366 0.5235916972160339 0.4092727601528168 0.46803775429725647
10.0 0.5115566253662109 0.6270722150802612 0.4410472512245178 0.5727360844612122 0.47000375390052795 0.49926450848579407
10.0 0.4454776346683502 0.6987296938896179 0.6317169666290283 0.49095582962036133 0.41189196705818176 0.552363395690918
10.0 0.46096330881118774 0.6103866696357727 0.5930579900741577 0.32112011313438416 0.23180291056632996 0.45995426177978516
10.0 0.2656092047691345 0.23828920722007751 0.5999171137809753 0.3874405324459076 0.29422301054000854 0.6860223412513733
10.0 0.5478739142417908 0.5652907490730286 0.6164947152137756 0.6146875023841858 0.4773333966732025 0.49392592906951904
10.0 0.4043225944042206 0.3678523004055023 0.3992227017879486 0.3880159556865692 0.3209039270877838 0.3432402014732361
10.0 0.641043484210968 0.5377101302146912 0.3903990387916565 0.439220130443573 0.3159927427768707 0.41401222348213196
10.0 0.1784086674451828 0.16560645401477814 0.6805191040039062 0.39542701840400696 0.289650559425354 0.5259510278701782
10.0 0.5695821046829224 0.666529655456543 0.6639401316642761 0.5058069229125977 0.3697943091392517 0.4792023003101349
10.0 0.2730993926525116 0.2083333283662796 0.44143614172935486 0.3456334173679352 0.34484562277793884 0.3480818569660187
10.0 0.41019612550735474 0.4784778952598572 0.46538805961608887 0.29316338896751404 0.36844372749328613 0.4931657612323761
10.0 0.6363636255264282 0.5334485173225403 0.6211227178573608 0.4754600524902344 0.31819915771484375 0.5467395186424255
10.0 0.38498246669769287 0.28165245056152344 0.32321786880493164 0.27705252170562744 0.21497894823551178 0.26036983728408813
10.0 0.6331201195716858 0.11872702836990356 0.517241358757019 0.42208781838417053 0.2694092094898224 0.5770597457885742
10.0 0.5011395215988159 0.42119717597961426 0.4559467136859894 0.2482738047838211 0.19787800312042236 0.33295243978500366
10.0 0.3965589702129364 0.3989941477775574 0.45052284002304077 0.2760080397129059 0.17713698744773865 0.17691218852996826
10.0 0.42537274956703186 0.41984689235687256 0.34597158432006836 0.3014777898788452 0.2864764332771301 0.31808510422706604
10.0 0.6736810207366943 0.5407905578613281 0.6486691832542419 0.5865655541419983 0.42967909574508667 0.47558775544166565
10.0 0.545171320438385 0.47431421279907227 0.6364518404006958 0.5543636679649353 0.47679072618484497 0.4953548312187195
10.0 0.44026732444763184 0.41779792308807373 0.36318549513816833 0.3237569332122803 0.323138028383255 0.26760566234588623
10.0 0.6138442754745483 0.3811759054660797 0.6627393364906311 0.5911703109741211 0.4215131103992462 0.3970515727996826
10.0 0.35390427708625793 0.24467003345489502 0.6182451844215393 0.3841113746166229 0.29930391907691956 0.5842714309692383
10.0 0.37383174896240234 0.1690821349620819 0.6345382332801819 0.2765270471572876 0.31162792444229126 0.6501676440238953
10.0 0.38361817598342896 0.434355765581131 0.37499749660491943 0.2965262830257416 0.260588675737381 0.34065932035446167
10.0 0.5534930229187012 0.4425695538520813 0.39355942606925964 0.29887640476226807 0.2257201075553894 0.22834093868732452
10.0 0.5079754590988159 0.4523320496082306 0.5941458344459534 0.41218602657318115 0.5200196504592896 0.49824458360671997
10.0 0.3307839334011078 0.6059638261795044 0.5323149561882019 0.29544031620025635 0.24497583508491516 0.2778244614601135
10.0 0.499763548374176 0.4713694155216217 0.49322763085365295 0.3164289593696594 0.2221090942621231 0.2007305920124054
10.0 0.5330559015274048 0.4603780508041382 0.5394402146339417 0.3204706013202667 0.2569941282272339 0.3049562871456146
10.0 0.5073333382606506 0.25441962480545044 0.7559254765510559 0.7557270526885986 0.5838053226470947 0.5210793614387512
10.0 0.4175831377506256 0.29984915256500244 0.3437862992286682 0.2603192627429962 0.2136067897081375 0.2649320065975189
10.0 0.5484347343444824 0.5308642387390137 0.38201141357421875 0.28673872351646423 0.2570688724517822 0.24747343361377716
10.0 0.5098229646682739 0.6271220445632935 0.6001886129379272 0.4992174506187439 0.3213338851928711 0.40332457423210144
10.0 0.5410430431365967 0.5707220435142517 0.5316116809844971 0.44545453786849976 0.36606118083000183 0.39907586574554443
10.0 0.5531717538833618 0.5813359022140503 0.6065544486045837 0.43821191787719727 0.2989606261253357 0.44316595792770386
10.0 0.24028907716274261 0.14019431173801422 0.25407010316848755 0.23434050381183624 0.1832229644060135 0.21365126967430115
10.0 0.5618191957473755 0.355045884847641 0.40504807233810425 0.31104740500450134 0.23400230705738068 0.3317687213420868
10.0 0.5330005884170532 0.6292693018913269 0.6267487406730652 0.527655839920044 0.35901734232902527 0.4081764221191406
10.0 0.6427343487739563 0.576988160610199 0.5118810534477234 0.40697598457336426 0.36713966727256775 0.4775620102882385
10.0 0.5855846405029297 0.4340021014213562 0.6371132731437683 0.4869067370891571 0.2951739728450775 0.40990346670150757
10.0 0.4410223960876465 0.46893611550331116 0.4626173675060272 0.2404407262802124 0.20920148491859436 0.4712487757205963
10.0 0.17968016862869263 0.15983176231384277 0.1350412666797638 0.17979292571544647 0.18467843532562256 0.22874338924884796
10.0 0.451154500246048 0.33186638355255127 0.7388594150543213 0.4742802083492279 0.3000706732273102 0.7659799456596375
