LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 green_0 green_1 green_2 green_3 green_4 green_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_1_0 red_edge_1_1 red_edge_1_2 red_edge_1_3 red_edge_1_4 red_edge_1_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 red_edge_3_0 red_edge_3_1 red_edge_3_2 red_edge_3_3 red_edge_3_4 red_edge_3_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 nir_2_0 nir_2_1 nir_2_2 nir_2_3 nir_2_4 nir_2_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
10.0 859.3920288085938 1217.1107177734375 709.3192749023438 711.8126831054688 848.8680419921875 597.9376220703125 1036.8974609375 1335.284912109375 1023.6332397460938 992.2318725585938 1091.04345703125 939.2131958007812 1053.189208984375 1331.9454345703125 1091.44873046875 1344.6878662109375 1299.72119140625 1105.410400390625 1432.7071533203125 1845.515625 1555.5687255859375 1703.2867431640625 1712.724609375 1437.5537109375 2479.708740234375 2764.262451171875 2554.848876953125 2189.983154296875 2107.59130859375 2365.724365234375 2792.291015625 3027.83447265625 2823.927490234375 2395.414794921875 2168.620849609375 2518.553955078125 2616.737060546875 2964.671875 2803.6591796875 2481.319580078125 2336.55078125 2551.90966796875 2904.919921875 3063.58984375 2968.660400390625 2551.212158203125 2325.10888671875 2573.624755859375 2228.262939453125 2542.44384765625 2628.254638671875 2909.7099609375 2969.933349609375 2618.2919921875 1561.4691162109375 1997.65966796875 1942.5789794921875 2310.563232421875 2495.98828125 2012.88232421875 0.42448699474334717 0.3902581036090851 0.4419667720794678 0.30171823501586914 0.28510725498199463 0.39563676714897156
10.0 603.1014404296875 1011.8614501953125 534.7393188476562 563.823974609375 889.01171875 567.1572875976562 820.6610107421875 1286.038330078125 812.10498046875 806.9994506835938 1108.0072021484375 902.5985107421875 799.1527709960938 1025.518310546875 704.4553833007812 850.47802734375 1288.0052490234375 1075.094970703125 1112.9359130859375 1600.703125 1212.390869140625 1286.1776123046875 1554.0009765625 1353.309814453125 2109.859375 3257.89794921875 2301.6318359375 2082.09130859375 1963.0001220703125 1966.3543701171875 2392.6328125 3547.304931640625 2660.599365234375 2341.124267578125 2140.999755859375 2155.2958984375 2168.88916015625 3961.882080078125 3049.80615234375 2640.4697265625 2111.999755859375 2270.188232421875 2476.34130859375 3773.6416015625 2909.486572265625 2583.02294921875 2303.998291015625 2295.92578125 1823.041748046875 2047.62353515625 2380.0458984375 2543.2939453125 2601.9931640625 2362.470458984375 1147.712158203125 1231.549072265625 1479.348388671875 1698.6715087890625 2105.9931640625 1833.101318359375 0.47059452533721924 0.6304879188537598 0.6235593557357788 0.512437641620636 0.2423507571220398 0.35779738426208496
10.0 858.7838134765625 392.0 398.5938720703125 432.5775451660156 503.5353698730469 430.27838134765625 1008.2091064453125 486.0 627.8123168945312 647.2467041015625 683.3492431640625 658.9071655273438 990.1365356445312 370.0 762.2720947265625 970.768310546875 982.4837646484375 867.0111083984375 1394.136962890625 599.0 1230.0264892578125 1279.451416015625 1136.0458984375 1183.5123291015625 2453.8544921875 1251.0 2252.541748046875 1842.16064453125 1418.4842529296875 2000.642822265625 2787.1005859375 1453.0 2546.7412109375 2048.392578125 1558.746826171875 2255.732421875 2732.930908203125 1347.0 2344.32666015625 1848.797607421875 1463.309814453125 2205.265869140625 2889.3193359375 1459.0 2806.819091796875 2197.825927734375 1570.8809814453125 2355.1123046875 2076.28125 854.0 2267.98046875 2345.25 1744.511962890625 2069.77734375 1304.595947265625 493.0 1508.9349365234375 1701.8306884765625 1306.685546875 1512.85302734375 0.48043519258499146 0.5690157413482666 0.5076494216918945 0.3119611144065857 0.18874245882034302 0.4369247853755951
10.0 824.1082153320312 926.618896484375 1057.35595703125 830.1664428710938 1034.685302734375 969.9385986328125 1055.7880859375 1104.0621337890625 1272.215087890625 1122.1485595703125 1291.431640625 1400.622314453125 1151.204833984375 1172.508544921875 1452.709716796875 1383.8778076171875 1542.12109375 1644.443359375 1482.388916015625 1378.6597900390625 1527.2442626953125 1477.477783203125 1672.2720947265625 1575.61279296875 1951.4896240234375 2114.271484375 2200.59228515625 1851.3238525390625 2009.79150390625 2003.4810791015625 2116.2607421875 2306.59912109375 2428.5615234375 2001.509765625 2181.243896484375 2213.146728515625 2026.3863525390625 1983.213134765625 2169.157470703125 1842.6309814453125 1964.805908203125 1872.51806640625 2185.6123046875 2223.03759765625 2487.571044921875 2061.4833984375 2305.611572265625 2226.09814453125 2130.5712890625 1975.42236328125 2398.017578125 2302.8125 2634.91162109375 2413.226806640625 1658.7747802734375 1588.677490234375 1939.68994140625 1954.9384765625 2232.01953125 2005.376708984375 0.27377891540527344 0.25642821192741394 0.19724097847938538 0.14205606281757355 0.12047766894102097 0.06472249329090118
10.0 749.99560546875 597.9259643554688 682.9295654296875 641.095947265625 904.3184814453125 546.4389038085938 1076.7333984375 1015.058837890625 1025.0740966796875 985.5684204101562 1200.6019287109375 811.8480224609375 1086.58203125 936.3616333007812 1153.2674560546875 1233.0592041015625 1462.1846923828125 892.5277709960938 1490.9617919921875 1448.801025390625 1662.28515625 1677.2852783203125 1843.5260009765625 1285.2750244140625 2636.776123046875 2980.965087890625 2625.445556640625 2363.23974609375 2335.67529296875 1861.738525390625 2997.2568359375 3279.18359375 2903.6123046875 2635.944091796875 2589.331298828125 1932.3424072265625 3080.489013671875 3530.56689453125 3034.86328125 2767.230224609375 2589.37451171875 2114.68603515625 3192.181396484375 3548.93896484375 3153.43994140625 2866.5986328125 2764.055419921875 2098.2958984375 2599.0224609375 2173.68115234375 2836.046142578125 3099.435302734375 3252.027587890625 1912.2257080078125 1822.912841796875 1331.498046875 2069.08642578125 2392.508544921875 2659.415283203125 1343.6495361328125 0.4799746870994568 0.5804547071456909 0.45299798250198364 0.3828509449958801 0.27712008357048035 0.4067135751247406
10.0 579.49267578125 705.996826171875 377.1174011230469 425.5913391113281 841.6336059570312 421.8693542480469 707.579833984375 843.1329345703125 526.6909790039062 582.6264038085938 928.7986450195312 551.9331665039062 581.3814697265625 726.0272216796875 507.89569091796875 649.5149536132812 943.3692016601562 520.1220703125 885.2125854492188 1093.1783447265625 867.743408203125 936.0723266601562 1230.3172607421875 812.0155029296875 1936.523193359375 2108.98046875 1827.51220703125 1664.40771484375 1912.6947021484375 1682.68994140625 2264.974365234375 2388.72216796875 2108.5322265625 1896.155029296875 2157.253662109375 1970.6484375 2307.201904296875 2466.783203125 2069.500244140625 1932.685546875 2161.005615234375 2034.7838134765625 2482.050537109375 2546.97412109375 2315.203857421875 2081.005126953125 2311.91357421875 2104.6728515625 1415.2841796875 1767.3375244140625 1663.7398681640625 1752.54736328125 1980.091064453125 1584.950927734375 851.140869140625 1034.66064453125 928.330810546875 1028.8636474609375 1257.716796875 901.3770141601562 0.6005606651306152 0.547841489315033 0.6070960760116577 0.49881887435913086 0.3937201499938965 0.5942180752754211
10.0 777.6728515625 700.0 692.2162475585938 520.1552734375 597.1632080078125 520.9998168945312 951.1300659179688 893.0 855.9542846679688 733.2979736328125 763.783447265625 706.9998779296875 961.7263793945312 879.0 790.1067504882812 900.967529296875 1004.939208984375 849.0 1312.8128662109375 1249.0 1172.095458984375 1203.500244140625 1256.885498046875 1187.0 2231.54736328125 2040.0 2255.67822265625 2026.8968505859375 1811.984130859375 1971.0 2500.69873046875 2276.0 2547.424560546875 2286.54931640625 1997.21875 2222.0 2253.29052734375 2294.0 2652.52490234375 2319.6044921875 1849.1666259765625 2226.0 2642.443603515625 2431.0 2687.299072265625 2561.203857421875 2157.0234375 2251.0 1964.0592041015625 1785.0 1895.8984375 2184.35546875 2274.8525390625 2361.0 1345.897705078125 1251.0 1168.1888427734375 1442.3807373046875 1772.072998046875 1813.0001220703125 0.40994635224342346 0.4459502100944519 0.5712456703186035 0.448627769947052 0.2901272475719452 0.44780483841896057
10.0 946.3096923828125 1250.9273681640625 801.1932983398438 680.5546264648438 1052.1107177734375 752.5758056640625 1195.60791015625 1469.0198974609375 1204.401123046875 1068.9100341796875 1270.7769775390625 1124.71435546875 1216.9710693359375 1467.0718994140625 1557.826416015625 1465.262939453125 1569.2227783203125 1569.6346435546875 1623.899169921875 1817.1197509765625 1986.994384765625 1798.772705078125 1782.816162109375 1734.799072265625 2527.328857421875 2671.298583984375 2741.857666015625 2229.44580078125 2102.51220703125 2003.239013671875 2847.009765625 2940.5791015625 3018.7880859375 2462.6015625 2204.512939453125 2199.09375 2724.8466796875 2690.704833984375 2842.13671875 2401.889404296875 2252.580078125 2120.85888671875 2961.96630859375 3007.6220703125 3148.936279296875 2615.546142578125 2296.949951171875 2086.02197265625 2325.949951171875 2211.973876953125 3114.0263671875 3079.394775390625 2793.724365234375 2808.2578125 1706.96630859375 1569.223876953125 2399.33544921875 2418.211181640625 2306.47265625 2377.619140625 0.38300228118896484 0.29433584213256836 0.29203203320503235 0.24244506657123566 0.17852284014225006 0.1498613953590393
10.0 1017.0804443359375 966.0001220703125 850.4461059570312 494.8343811035156 690.02294921875 338.0 1068.8052978515625 1150.0 985.5297241210938 686.2634887695312 858.2302856445312 552.0 866.0119018554688 1051.999755859375 922.4752807617188 807.22998046875 955.161376953125 557.5 1161.085205078125 1474.9998779296875 1279.978759765625 1090.924072265625 1269.6646728515625 969.0 2036.4696044921875 2541.999755859375 2353.875244140625 1922.33984375 2009.4114990234375 2153.5 2319.013671875 2827.999755859375 2710.528564453125 2151.0810546875 2280.774658203125 2475.0 2390.478515625 2736.0 2569.809814453125 2055.918701171875 2115.74609375 2345.5 2410.379150390625 2937.0 2890.07470703125 2363.13232421875 2443.77734375 2603.0 1430.9130859375 1865.0 1985.4947509765625 1999.1356201171875 2327.11865234375 1954.0 870.0506591796875 1256.9998779296875 1333.6802978515625 1362.77294921875 1729.4219970703125 1286.0 0.48009365797042847 0.4445618987083435 0.5016583800315857 0.4403766691684723 0.3796425759792328 0.6122704148292542
10.0 1040.9400634765625 941.0 901.2862548828125 801.408203125 1179.959716796875 816.5 1099.86669921875 1063.0 1148.1663818359375 1110.6090087890625 1297.6016845703125 1104.5 1214.012939453125 1177.0 1204.523681640625 1282.2274169921875 1494.819091796875 1297.0 1509.0860595703125 1637.0 1534.927001953125 1608.2047119140625 1779.1561279296875 1543.5 2118.8662109375 2656.5 2458.59912109375 2251.7998046875 2220.182861328125 2144.5 2344.48486328125 2854.5 2720.133056640625 2477.306884765625 2400.43505859375 2288.5 1825.1611328125 2245.0 2175.670166015625 2041.80517578125 2084.067138671875 1710.0 2366.154296875 2888.5 2749.255615234375 2546.385498046875 2446.8046875 2354.5 2013.389404296875 2262.5 2271.6220703125 2503.416748046875 2720.126220703125 2388.5 1734.58203125 1777.0 1787.968994140625 2060.489990234375 2399.618408203125 2068.5 0.20097944140434265 0.3117155432701111 0.28403401374816895 0.2264532744884491 0.1621919572353363 0.13887083530426025
